gene,C1_1,C1_2,C1_3,T1_1,T1_2,T1_3,C2_1,C2_2,C2_3,T2_1,T2_2,T2_3,C3_1,C3_2,C3_3,T3_1,T3_2,T3_3
Gene1,8.65,8.69,11.22,19.61,19.74,19.15,7.33,9.16,12.74,3.74,3.1,6.88,22.19,22.82,21.63,18.19,10.27,5.99
Gene2,61.23,61.41,69.32,109.82,106.97,107.7,55.08,74.72,94.45,39.8,31.04,69.32,103.85,103.82,101.48,110.42,65.52,51.53
Gene3,8.73,9.78,9.5,20.65,21.13,21.51,14.07,11.49,25.48,15.74,14.38,30.06,23.19,24.15,25.38,22.04,11.97,12.09
Gene4,7.08,5.8,6.07,15.63,16.52,15.75,7.03,7.24,12.26,7.42,6.9,12.56,13.07,14,13.77,9.42,5,5.4
Gene5,19.71,18.85,19.58,35.65,35.49,35.35,14.46,19.44,17.03,8.48,6.96,11.87,31.9,33.07,33.4,29.41,20.91,17.88
Gene6,4.34,4.7,5.39,16.06,16.03,15.13,4.9,6.07,9.7,3.49,2.16,6.46,18.35,18.4,17.59,14.15,6.95,5.88
Gene7,21.68,24.45,25.54,71.52,74.54,74.46,32.2,25.21,54.36,34.49,32.38,61.16,63.62,62.92,61.62,61.46,32.67,34.45
Gene8,48.55,69.02,58.71,86.44,87.76,81.53,67.34,69.75,107.55,80.83,97.94,109.99,131.41,122.85,128.37,78.33,54.44,58.87
Gene9,9.51,14.9,14.55,38.9,38.95,37.96,15.78,9.99,30.21,14.06,11.01,26.85,38.16,37.25,38.3,46.51,27.29,22.91
Gene10,3.89,5.96,5.93,18.54,19.2,17.42,4.27,7.33,9.35,2.14,1.74,4.82,23.36,22.44,22.74,15.32,6.72,4.63
Gene11,3.17,3.96,5.7,9.3,9.03,9.02,2.72,4.36,3.29,1.22,0.76,0.94,9.41,9.78,9.64,6.4,5.47,3.76
Gene12,7.96,6.04,6.77,18.91,19.98,19.86,7.54,6.17,16.32,7.71,8.86,14.96,16.17,15.98,15.73,16.14,7.45,7.57
Gene13,30.5,21.22,37.11,68.1,68.04,66.46,45.79,49.19,72.97,50.56,51.93,73.57,79.79,79.85,75.99,51.25,32.1,37.07
Gene14,50.69,42.2,45.94,64.33,61.13,62.57,34.97,42.5,47.27,25.65,20.55,35.82,53.95,52.9,53.81,59.75,36.21,34.89
Gene15,8.31,9.11,9.97,40.61,38.95,41.88,8.67,16.09,26.36,7.25,6.3,21.32,52.49,53.99,52.22,37.01,12.86,10.47
Gene16,111.88,92.11,118.01,248.31,255.57,252.77,140.36,141.58,286.35,149.58,155.78,300.33,249.3,254.77,247.68,232.41,107.86,117.28
Gene17,64.94,67.62,67.99,117.8,112.95,112.08,56.34,66.23,82.5,51.6,48.13,74.11,109.38,111.2,108.91,101.33,72.14,64.35
Gene18,26.49,25.52,27.62,47.29,48.67,47.4,19.42,20.49,24.93,17.02,14.63,19.97,31.15,32.69,32.85,27.71,24.79,19
Gene19,7.4,6.3,9.86,17.04,15.77,15.69,11,12.3,16.49,11.96,11.97,17.69,22.61,21.5,20.35,16.74,11.19,10.92
Gene20,5.4,2.24,1.65,59.12,59.64,60.04,3.16,2.39,5.04,5.27,4.4,9.29,10.74,11.28,10.17,7.3,4.67,5.4